City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
167,longgang,37.6508,120.3286,78.28,78,100,14.45,CN
168,mbanza kongo,-6.267,14.2401,88.63,34,11,4.23,AO
169,valsad,20.6333,72.9333,83.48,84,78,11.81,IN
170,chonchi,-42.6128,-73.8092,42.12,94,100,0.69,CL
171,lionel town,17.8101,-77.2406,82.29,79,100,5.44,JM
172,tazovsky,67.4667,78.7,72.12,51,100,10.09,RU
173,mount isa,-20.7333,139.5,71.37,56,100,6.91,AU
174,al ghayzah,16.2079,52.176,84.06,71,52,14.74,YE
175,sao felix do xingu,-6.6447,-51.995,80.69,41,5,2.3,BR
176,zwedru,6.0667,-8.1281,77.31,87,100,4.0,LR
177,fisterra,42.9049,-9.2629,82.74,87,13,18.95,ES
178,kaa-khem,51.6833,94.7333,75.27,41,67,7.56,RU
179,port de pollenca,39.9075,3.0814,87.28,57,45,11.41,ES
180,nyaungdon,17.0333,95.65,83.55,76,44,9.28,MM
181,enewetak,11.3474,162.3373,82.96,78,88,15.17,MH
182,shubarshi,48.5872,57.1869,87.26,30,69,13.29,KZ
183,laguna,38.421,-121.4238,71.64,71,0,4.61,US
184,wailua homesteads,22.0669,-159.378,77.79,90,100,16.11,US
185,atafu village,-8.5421,-172.5159,83.08,76,85,18.68,TK
186,oeiras do para,-2.0031,-49.8544,84.49,65,16,4.09,BR
187,sorong,-0.8833,131.25,78.69,85,100,11.21,ID
188,saint croix,17.7397,-64.7388,82.85,84,75,16.11,VI
189,dolisie,-4.1997,12.6739,88.32,40,14,5.84,CG
190,gobabis,-22.45,18.9667,79.32,12,0,15.77,NA
191,tazacorte,28.629,-17.9293,78.15,74,75,12.66,ES
192,ankang,32.68,109.0172,78.91,84,58,4.63,CN
193,nemuro,43.3236,145.575,64.89,94,90,4.45,JP
194,tadine,-21.55,167.8833,68.36,55,58,16.26,NC
195,benjamin constant,-4.3831,-70.0311,73.53,79,5,0.09,BR
196,tolanaro,-25.0319,46.9987,69.01,58,74,8.52,MG
197,revda,56.801,59.9303,69.48,77,58,6.44,RU
198,sisimiut,66.9395,-53.6735,48.16,71,4,6.71,GL
199,howrah,22.5892,88.3103,82.4,94,75,5.75,IN
200,west island,-12.1568,96.8225,75.18,88,75,20.71,CC
201,altamira,-3.2033,-52.2064,78.89,89,75,8.05,BR
202,hamilton,39.1834,-84.5333,76.42,89,0,9.22,US
203,vicuna mackenna,-33.9197,-64.3922,38.89,85,9,8.59,AR
204,qamdo,31.1667,97.2333,51.19,70,85,7.67,CN
205,retreat,38.8245,-85.8533,76.12,93,87,6.71,US
206,tutoia,-2.7619,-42.2744,81.57,63,28,10.33,BR
207,merizo village,13.2658,144.6691,82.98,91,100,20.4,GU
208,avarua,-21.2078,-159.775,62.65,100,3,3.44,CK
209,mingguang,32.7802,117.9638,80.31,90,15,7.25,CN
210,jiazi,22.8779,116.067,85.82,74,82,2.84,CN
211,birobidzhan,48.8,132.95,72.12,81,22,7.38,RU
212,armacao de buzios,-22.7469,-41.8817,73.45,86,67,22.57,BR
213,arkhangel'sk,64.5401,40.5433,72.75,44,79,7.25,RU
214,flying fish cove,-10.4217,105.6791,76.68,88,100,6.91,CX
215,chico,39.7285,-121.8375,70.86,55,0,4.61,US
216,uturoa,-16.7333,-151.4333,77.99,86,25,7.45,PF
217,nagqu,31.5,92.0,53.33,63,99,11.9,CN
218,balkanabat,39.5108,54.3671,90.66,48,87,11.34,TM
219,whitehorse,60.7161,-135.0538,52.57,93,75,2.3,CA
220,pakokku,21.3333,95.1,93.07,49,88,15.08,MM
221,guane,22.2025,-84.0875,78.12,89,44,6.11,CU
222,college,64.8569,-147.8028,66.79,86,75,6.91,US
223,banda aceh,5.5577,95.3222,82.6,77,100,13.78,ID
224,nova sintra,14.8667,-24.7167,73.13,85,100,9.84,CV
225,kovdor,67.5662,30.4758,59.09,73,78,3.0,RU
226,saint-philippe,-21.3585,55.7679,74.79,79,16,10.13,RE
227,kourou,5.1552,-52.6478,82.45,82,34,4.14,GF
228,praia da vitoria,38.7333,-27.0667,77.25,73,40,5.32,PT
229,canutama,-6.5339,-64.3831,76.05,57,4,2.1,BR
230,belmonte,-15.8631,-38.8828,74.66,79,85,7.72,BR
231,jingzhou,30.3503,112.1903,82.38,80,100,3.29,CN
232,batticaloa,7.7102,81.6924,86.79,65,100,5.08,LK
233,wewak,-3.5534,143.6268,80.53,88,92,14.41,PG
234,peniche,39.3558,-9.3811,84.29,77,2,14.05,PT
235,gebeit,21.0667,36.3167,108.61,8,92,12.08,SD
236,shar,49.5886,81.0453,90.28,18,55,12.73,KZ
237,santa maria,-29.6842,-53.8069,63.7,94,75,11.5,BR
238,jieshi,22.8134,115.8257,86.36,74,77,3.96,CN
239,starobesheve,47.7504,38.0305,88.3,34,8,12.8,UA
240,cabo san lucas,22.8909,-109.9124,84.51,76,100,1.99,MX
241,gizo,-8.103,156.8419,80.02,86,98,17.81,SB
242,pontianak,-0.0333,109.3333,80.58,78,20,4.61,ID
243,sao jose da coroa grande,-8.8978,-35.1478,79.05,66,11,9.73,BR
244,buka,40.8108,69.1986,111.97,6,13,11.81,UZ
245,hau-ri,41.2006,129.4703,73.67,95,100,3.74,KP
246,holualoa,19.6228,-155.9522,75.04,86,20,6.91,US
247,crane,31.3974,-102.3501,76.87,48,31,12.48,US
248,coquimbo,-29.9533,-71.3436,53.33,100,100,8.05,CL
249,port mathurin,-19.6833,63.4167,74.8,78,38,11.34,MU
250,pionerskiy,54.9508,20.2275,67.84,62,86,14.47,RU
251,bam,29.106,58.357,104.58,7,81,13.18,IR
252,kharp,66.8014,65.8081,63.05,85,100,2.55,RU
253,benjamin aceval,-24.9667,-57.5667,62.74,66,99,5.7,PY
254,tshabong,-26.05,22.45,80.91,19,22,22.79,BW
255,gotsucho,35.0,132.2167,78.69,85,27,4.14,JP
256,shenkursk,62.1091,42.896,64.04,68,93,5.91,RU
257,port hueneme,34.1478,-119.1951,74.17,88,0,0.0,US
258,esquel,-42.9,-71.3167,33.19,92,92,5.01,AR
259,bridgewater,44.3835,-64.5155,72.1,77,70,4.61,CA
260,agadez,19.75,10.25,106.5,7,0,23.49,NE
261,kodiak,57.79,-152.4072,53.11,94,20,5.75,US
262,oranjemund,-28.55,16.4333,60.62,58,61,10.07,NA
263,belonia,23.2528,91.4514,82.47,84,100,10.0,IN
264,bismarck,46.8083,-100.7837,66.61,78,0,8.05,US
265,cavelossim,15.1726,73.9419,77.45,89,100,20.0,IN
266,jalai nur,49.45,117.7,73.87,58,37,9.22,CN
267,sinjai,-5.1241,120.253,74.57,88,54,4.68,ID
268,sabzevar,36.2126,57.6819,103.28,11,0,11.5,IR
269,chistopol',55.3631,50.6424,78.64,53,90,10.0,RU
270,phan rang-thap cham,11.5667,108.9833,82.58,77,96,6.38,VN
271,miguel auza,24.2933,-103.4503,60.64,75,100,8.43,MX
272,klyuchi,52.2667,79.1667,85.41,26,100,9.4,RU
273,khoyniki,51.8911,29.9552,73.74,57,92,9.19,BY
274,kone,-21.0595,164.8658,61.23,70,10,5.99,NC
275,heyuan,23.7333,114.6833,87.3,69,81,1.36,CN
276,queenstown,-31.8976,26.8753,71.44,33,40,21.77,ZA
277,hermoso campo,-27.6082,-61.3444,53.11,86,92,7.09,AR
278,mammoth lakes,37.6485,-118.9721,61.34,44,0,5.75,US
279,progreso,21.2833,-89.6667,80.71,94,95,5.73,MX
280,kapoeta,4.7717,33.5903,88.7,41,98,9.44,SS
281,bikenibeu village,1.3673,173.1241,82.36,83,75,3.44,KI
282,zhezqazghan,47.7833,67.7667,86.58,30,75,15.66,KZ
283,tawau,4.2498,117.8871,82.53,88,57,5.79,MY
284,ketchikan,55.3422,-131.6461,57.67,88,100,0.0,US
285,isafjordur,66.0755,-23.124,48.24,71,40,18.41,IS
286,new norfolk,-42.7826,147.0587,53.1,80,100,3.65,AU
287,america dourada,-11.4553,-41.4361,68.45,69,70,11.56,BR
288,brodnica,53.2597,19.3965,74.39,28,97,12.55,PL
289,aral,40.5156,81.2636,95.61,19,41,3.6,CN
290,tangalle,6.024,80.7911,82.67,73,95,13.42,LK
291,tromso,69.6496,18.957,66.22,59,40,4.61,NO
292,bhuj,23.2667,69.6667,89.29,64,87,16.75,IN
293,rakops,-21.0167,24.3333,80.64,23,0,9.33,BW
294,sosnovka,56.255,51.2842,76.33,63,61,5.64,RU
295,el granada,37.5027,-122.4694,61.34,91,100,6.91,US
296,priozersk,61.0393,30.1291,68.09,69,44,7.74,RU
297,paragominas,-2.9667,-47.4833,81.45,65,16,5.41,BR
298,flin flon,54.7682,-101.865,57.04,94,75,10.36,CA
299,fale old settlement,-9.3852,-171.2468,82.44,77,79,20.2,TK
300,hilo,19.7297,-155.09,74.12,97,100,4.61,US
301,sao vicente,-23.9631,-46.3919,79.27,78,0,1.14,BR
302,qaqortoq,60.7167,-46.0333,41.95,91,58,6.02,GL
303,antsiranana,-12.2787,49.2917,81.39,53,82,19.77,MG
304,san julian,21.0167,-102.1667,55.53,95,97,2.86,MX
305,omdurman,15.6445,32.4777,90.48,42,95,19.35,SD
306,tenenkou,14.4572,-4.9169,96.51,37,20,7.94,ML
307,tramandai,-29.9847,-50.1336,63.34,94,94,4.7,BR
308,san patricio,28.017,-97.5169,84.85,89,1,5.12,US
309,monte santo,-10.4378,-39.3328,75.24,57,26,10.54,BR
310,jianguang,28.1938,115.7836,84.42,76,20,6.8,CN
311,funafuti,-8.5243,179.1942,82.4,94,75,11.5,TV
312,yung shue wan,22.2333,114.1167,92.62,82,97,1.5,HK
313,chisec,15.8167,-90.2833,70.03,74,40,2.91,GT
314,namtsy,62.7161,129.6658,62.62,55,93,7.07,RU
315,borogontsy,62.6683,131.1683,61.54,65,57,5.08,RU
316,carnarvon,-24.8667,113.6333,64.17,56,18,16.08,AU
317,akureyri,65.6835,-18.0878,49.93,81,75,11.5,IS
318,nuuk,64.1835,-51.7216,39.81,100,100,16.11,GL
319,al bawiti,28.3492,28.8659,102.49,12,0,10.47,EG
320,lodja,-3.4833,23.4333,101.05,17,23,3.06,CD
321,cill airne,52.05,-9.5167,62.65,88,100,13.8,IE
322,nassau,40.7507,-73.5829,73.67,85,0,4.61,US
323,adam,22.3756,57.5233,99.16,38,98,8.72,OM
324,tsiombe,-25.3,45.4833,70.5,41,33,15.3,MG
325,magnolia,33.2671,-93.2393,74.88,83,28,5.99,US
326,cordoba,-31.4135,-64.1811,50.41,88,0,6.91,AR
327,kokopo,-4.352,152.2633,77.18,85,99,14.29,PG
328,marsa alam,25.0757,34.8918,96.17,46,96,10.42,EG
329,pasni,25.2631,63.471,84.78,82,100,9.51,PK
330,kusa,55.3383,59.4406,69.58,63,64,2.86,RU
331,moju,-1.8839,-48.7689,83.21,67,33,3.09,BR
332,new plymouth,-39.0667,174.0833,44.82,72,12,2.73,NZ
333,shortandy,51.7006,70.9994,68.68,63,100,12.24,KZ
334,sault ste. marie,46.5168,-84.3333,66.76,94,40,4.61,CA
335,nashville,36.1659,-86.7844,77.31,86,0,5.75,US
336,bethanie,-26.4833,17.15,70.48,6,0,13.31,NA
337,mogadishu,2.0371,45.3438,78.89,75,45,20.18,SO
338,ola,59.5833,151.2833,61.14,97,100,5.44,RU
339,tucuma,-0.1833,-50.05,81.34,77,65,5.32,BR
340,fortuna,40.5982,-124.1573,58.93,92,100,0.0,US
341,bandarbeyla,9.4942,50.8122,84.07,57,9,33.04,SO
342,faro,37.0194,-7.9322,78.19,57,0,8.05,PT
343,kholmsk,47.0511,142.0569,64.9,95,46,5.7,RU
344,las tablas,7.7667,-80.2833,77.4,91,100,11.14,PA
345,at taj,24.2049,23.2857,101.59,7,5,9.53,LY
346,noosa heads,-26.3833,153.15,62.33,78,29,16.71,AU
347,wad az zaki,14.4619,32.2065,91.17,42,98,17.9,SD
348,la passe,45.5549,-0.8967,70.03,64,63,14.18,FR
349,azadshahr,34.7909,48.5707,91.89,13,40,4.61,IR
350,vorgashor,67.5833,63.95,62.24,82,100,8.7,RU
351,manistee,44.2445,-86.3242,75.25,88,0,5.75,US
352,mumford,5.2618,-0.759,78.03,85,53,12.55,GH
353,tofol,5.3248,163.0078,83.43,74,52,9.01,FM
354,torghay,49.6339,63.4981,85.46,38,28,20.49,KZ
355,magadan,59.5667,150.8,60.53,98,100,6.31,RU
356,binhe,32.6883,112.8275,84.25,71,63,7.0,CN
357,san benito abad,8.929,-75.0271,77.16,95,100,3.0,CO
358,bereeda,11.8704,51.0579,90.07,54,32,3.24,SO
359,barmer,25.75,71.3833,95.41,45,96,5.28,IN
360,ulsteinvik,62.3432,5.8487,65.91,85,92,8.99,NO
361,inga,-7.2808,-35.6044,77.45,73,67,9.08,BR
362,mamontovo,52.7055,81.6244,83.23,30,97,4.18,RU
363,hinatuan,8.3722,126.3342,79.36,87,98,6.11,PH
364,kani keli,-12.9536,45.1033,83.46,74,45,8.68,YT
365,tumpat,6.1978,102.171,76.98,88,40,1.14,MY
366,florestopolis,-22.8633,-51.3872,66.97,60,21,5.68,BR
367,piechowice,50.8496,15.5989,68.07,53,93,11.34,PL
368,okha,53.5739,142.9478,52.75,99,100,12.28,RU
369,dakhla,23.6848,-15.958,75.22,69,10,24.16,EH
370,dire dawa,9.5931,41.8661,87.51,39,25,8.21,ET
371,tavistock,50.5494,-4.1442,63.3,95,94,4.0,GB
372,kuzovatovo,53.5468,47.6866,85.03,32,39,12.71,RU
373,le port,-20.9373,55.2919,76.96,98,7,11.21,RE
374,oroqen zizhiqi,50.5667,123.7167,65.44,92,88,3.71,CN
375,rio grande,-32.035,-52.0986,62.71,98,100,12.24,BR
376,princeville,45.7668,-61.2985,75.61,82,20,5.75,CA
377,souillac,-20.5167,57.5167,75.58,78,75,5.75,MU
378,sovetskiy,61.3614,63.5842,71.2,50,95,5.12,RU
379,mejit,10.2753,170.8646,83.12,78,100,17.47,MH
380,itororo,-15.1169,-40.0703,72.27,79,88,1.54,BR
